ngram,year,frequency
equidad,1932,1.7700058085878823e-10
equidad,1933,5.717752382672359e-10
equidad,1934,1.836310686842424e-10
equidad,1935,1.4895245037394034e-09
equidad,1936,1.6217011067354292e-10
equidad,1937,0.0
equidad,1938,1.5555633170460936e-10
equidad,1939,5.862481056162494e-10
equidad,1940,1.2567753504555412e-09
equidad,1941,4.56797266679132e-10
equidad,1942,6.970327093291928e-10
equidad,1943,7.222113462823643e-10
equidad,1944,0.0
equidad,1945,5.23068977020813e-10
equidad,1946,0.0
equidad,1947,1.5935910369080375e-09
equidad,1948,7.883156349919318e-10
equidad,1949,1.969224339148923e-09
equidad,1950,4.6359532879236554e-10
equidad,1951,9.575999992961215e-10
equidad,1952,1.1904313645949571e-10
equidad,1953,4.737593095605064e-10
equidad,1954,1.2742805699517135e-09
equidad,1955,2.0859651783666777e-09
equidad,1956,1.2080711986328652e-09
equidad,1957,7.112818112275932e-10
equidad,1958,4.058390568051351e-10
equidad,1959,3.7710415345948434e-10
equidad,1960,1.7841216282121763e-09
equidad,1961,4.165632838670774e-10
equidad,1962,1.0277484419063398e-09
equidad,1963,6.670352603599383e-10
equidad,1964,5.515228829189311e-10
equidad,1965,1.4282458549175203e-09
equidad,1966,4.852889756712386e-10
equidad,1967,8.183912436621199e-10
equidad,1968,8.021724395845808e-10
equidad,1969,4.3086051393359526e-10
equidad,1970,3.0956376351198855e-10
equidad,1971,1.3019115785439794e-09
equidad,1972,3.141910065451725e-10
equidad,1973,2.3940760485174906e-09
equidad,1974,5.6390675462481e-10
equidad,1975,3.652086966177137e-10
equidad,1976,5.200080921419215e-10
equidad,1977,1.7680081842996742e-09
equidad,1978,1.475929045646751e-09
equidad,1979,7.313152305954418e-10
equidad,1980,7.865882389879175e-10
equidad,1981,9.710314774480366e-10
equidad,1982,6.258329410258057e-10
equidad,1983,7.131513157787595e-10
equidad,1984,6.94311663718139e-10
equidad,1985,2.075218663577516e-09
equidad,1986,9.327156824667782e-10
equidad,1987,1.131991389513587e-09
equidad,1988,1.8736254769891048e-09
equidad,1989,1.5958762089596235e-09
equidad,1990,2.855548686397924e-09
equidad,1991,6.647221884037435e-09
equidad,1992,9.638765341435374e-09
equidad,1993,6.291301701821794e-09
equidad,1994,8.967051101649304e-09
equidad,1995,7.259437051487794e-09
equidad,1996,6.1321738797914804e-09
equidad,1997,6.145457920325725e-09
equidad,1998,4.426282007585769e-09
equidad,1999,1.1028568280835316e-08
equidad,2000,8.577013765886932e-09
equidad,2001,1.0556017393525963e-08
equidad,2002,8.541609197720845e-09
equidad,2003,1.1449306391853042e-08
equidad,2004,1.2387793901780242e-08
equidad,2005,8.042093213589396e-09
equidad,2006,8.196280099070918e-09
equidad,2007,1.066839860897062e-08
equidad,2008,8.868939360695549e-09
equidad,2009,9.510864984463296e-09
equidad,2010,6.687482567713232e-09
equidad,2011,9.629764541330132e-09
equidad,2012,1.3039298529804455e-08
equidad,2013,7.10700343020676e-09
equidad,2014,6.596846180428884e-09
equidad,2015,8.186001210219729e-09
equidad,2016,7.453974326665502e-09
equidad,2017,1.1711220437859993e-08
equidad,2018,1.5738084613303727e-08
equidad,2019,1.6472334607442463e-08
justicia social,1800,0.0
justicia social,1801,0.0
justicia social,1802,0.0
justicia social,1803,0.0
justicia social,1804,0.0
justicia social,1805,0.0
justicia social,1806,0.0
justicia social,1807,0.0
justicia social,1808,0.0
justicia social,1809,0.0
justicia social,1810,0.0
justicia social,1811,0.0
justicia social,1812,0.0
justicia social,1813,0.0
justicia social,1814,0.0
justicia social,1815,0.0
justicia social,1816,0.0
justicia social,1817,0.0
justicia social,1818,0.0
justicia social,1819,0.0
justicia social,1820,0.0
justicia social,1821,0.0
justicia social,1822,0.0
justicia social,1823,0.0
justicia social,1824,0.0
justicia social,1825,0.0
justicia social,1826,0.0
justicia social,1827,0.0
justicia social,1828,0.0
justicia social,1829,0.0
justicia social,1830,0.0
justicia social,1831,0.0
justicia social,1832,0.0
justicia social,1833,0.0
justicia social,1834,0.0
justicia social,1835,0.0
justicia social,1836,0.0
justicia social,1837,0.0
justicia social,1838,0.0
justicia social,1839,0.0
justicia social,1840,0.0
justicia social,1841,0.0
justicia social,1842,0.0
justicia social,1843,0.0
justicia social,1844,0.0
justicia social,1845,0.0
justicia social,1846,0.0
justicia social,1847,0.0
justicia social,1848,0.0
justicia social,1849,0.0
justicia social,1850,0.0
justicia social,1851,0.0
justicia social,1852,0.0
justicia social,1853,0.0
justicia social,1854,0.0
justicia social,1855,0.0
justicia social,1856,0.0
justicia social,1857,0.0
justicia social,1858,0.0
justicia social,1859,0.0
justicia social,1860,0.0
justicia social,1861,0.0
justicia social,1862,0.0
justicia social,1863,0.0
justicia social,1864,0.0
justicia social,1865,0.0
justicia social,1866,0.0
justicia social,1867,0.0
justicia social,1868,0.0
justicia social,1869,0.0
justicia social,1870,0.0
justicia social,1871,0.0
justicia social,1872,0.0
justicia social,1873,0.0
justicia social,1874,0.0
justicia social,1875,0.0
justicia social,1876,0.0
justicia social,1877,0.0
justicia social,1878,0.0
justicia social,1879,0.0
justicia social,1880,0.0
justicia social,1881,0.0
justicia social,1882,0.0
justicia social,1883,0.0
justicia social,1884,0.0
justicia social,1885,0.0
justicia social,1886,0.0
justicia social,1887,0.0
justicia social,1888,0.0
justicia social,1889,0.0
justicia social,1890,0.0
justicia social,1891,0.0
justicia social,1892,0.0
justicia social,1893,0.0
justicia social,1894,0.0
justicia social,1895,0.0
justicia social,1896,0.0
justicia social,1897,0.0
justicia social,1898,0.0
justicia social,1899,0.0
justicia social,1900,0.0
justicia social,1901,0.0
justicia social,1902,0.0
justicia social,1903,0.0
justicia social,1904,0.0
justicia social,1905,0.0
justicia social,1906,0.0
justicia social,1907,0.0
justicia social,1908,0.0
justicia social,1909,0.0
justicia social,1910,0.0
justicia social,1911,0.0
justicia social,1912,0.0
justicia social,1913,0.0
justicia social,1914,0.0
justicia social,1915,0.0
justicia social,1916,0.0
justicia social,1917,0.0
justicia social,1918,0.0
justicia social,1919,0.0
justicia social,1920,0.0
justicia social,1921,0.0
justicia social,1922,0.0
justicia social,1923,0.0
justicia social,1924,0.0
justicia social,1925,0.0
justicia social,1926,0.0
justicia social,1927,0.0
justicia social,1928,0.0
justicia social,1929,1.5233041217310728e-10
justicia social,1930,0.0
justicia social,1931,0.0
justicia social,1932,1.681008943155149e-10
justicia social,1933,0.0
justicia social,1934,0.0
justicia social,1935,4.717681245658412e-10
justicia social,1936,4.621610316668523e-10
justicia social,1937,0.0
justicia social,1938,0.0
justicia social,1939,2.7851546069435074e-10
justicia social,1940,5.968111560505918e-10
justicia social,1941,1.012445904891024e-09
justicia social,1942,1.656292047957919e-10
justicia social,1943,0.0
justicia social,1944,0.0
justicia social,1945,4.976493106489954e-10
justicia social,1946,5.712639250532447e-10
justicia social,1947,1.2635635593394312e-10
justicia social,1948,3.746817023309035e-10
justicia social,1949,6.608261715612684e-10
justicia social,1950,2.2039198244172553e-10
justicia social,1951,0.0
justicia social,1952,2.2636570395917488e-10
justicia social,1953,1.1258132204261528e-09
justicia social,1954,2.2030691160246363e-10
justicia social,1955,5.218893650571488e-10
justicia social,1956,6.264531671185125e-10
justicia social,1957,1.4493013456018389e-09
justicia social,1958,9.648638832349121e-11
justicia social,1959,2.6911273209861974e-10
justicia social,1960,8.485817604153567e-11
justicia social,1961,2.377665841990506e-10
justicia social,1962,7.52361645206534e-11
justicia social,1963,4.935306607833922e-10
justicia social,1964,1.199106369753622e-09
justicia social,1965,2.717658875717177e-10
justicia social,1966,2.6391500096423215e-10
justicia social,1967,6.5921851311046e-10
justicia social,1968,4.110382589850303e-10
justicia social,1969,1.4063441522438325e-09
justicia social,1970,6.481766234855968e-10
justicia social,1971,1.121393644609725e-09
justicia social,1972,1.1366697583170549e-09
justicia social,1973,8.763177961057522e-10
justicia social,1974,2.087759076729867e-09
justicia social,1975,3.4771427404045596e-10
justicia social,1976,8.800319362123332e-10
justicia social,1977,1.1941100330759014e-09
justicia social,1978,5.397737257162305e-10
justicia social,1979,8.026390663218308e-10
justicia social,1980,1.603577548525692e-10
justicia social,1981,7.063208906643581e-10
justicia social,1982,1.2446006447675018e-09
justicia social,1983,1.148008577089854e-09
justicia social,1984,1.4224795785722222e-09
justicia social,1985,8.387960326317057e-10
justicia social,1986,1.084099809922634e-09
justicia social,1987,2.1534949379287127e-09
justicia social,1988,1.011730366151653e-09
justicia social,1989,1.5637295902592996e-09
justicia social,1990,1.3806270571237178e-09
justicia social,1991,1.2001558635788001e-09
justicia social,1992,8.861735789622571e-10
justicia social,1993,2.749529715018184e-09
justicia social,1994,1.1381464659621088e-09
justicia social,1995,6.782979733443995e-10
justicia social,1996,1.287559947549255e-09
justicia social,1997,1.4303713768981652e-09
justicia social,1998,1.4054238883787207e-09
justicia social,1999,6.302364186083764e-10
justicia social,2000,1.4184933228023056e-09
justicia social,2001,1.501661794911513e-09
justicia social,2002,1.6985191031437807e-09
justicia social,2003,8.653305294537006e-10
justicia social,2004,1.4201114728606967e-09
justicia social,2005,1.3247226648971377e-09
justicia social,2006,1.6514366540931746e-09
justicia social,2007,1.3799841269701574e-09
justicia social,2008,2.650693442518559e-09
justicia social,2009,9.948133428139272e-10
justicia social,2010,1.788134751379289e-09
justicia social,2011,1.7258022788624316e-09
justicia social,2012,3.0667439698817134e-09
justicia social,2013,1.0367293690194401e-09
justicia social,2014,1.8211115948574275e-09
justicia social,2015,3.1617655160687264e-09
justicia social,2016,1.8173851312752731e-09
justicia social,2017,2.005399402094099e-09
justicia social,2018,2.5312898443985432e-09
justicia social,2019,2.748513860950652e-09
